doc,completion_M,completion_M_A,completion_M_D,completion_M_19
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_41,"""* Ce roman parle des problèmes et des luttes personnelles des personnages","""<s> [/INST] m.\xa0Rosalie est déconsolée d'un cœur très lourd et pleurait presque à chaque pas\xa0",""" [/INST] Un groupe d'amis discutent des aspects troublants et mystérieux de la vie. Clément","""ières"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_54,""" 1. Marcel de Colorado's disappearance sparks an investigation that reveals a criminal network involved in manipulation and fraud","""<s> [/INST] Marcel de colorado est au quartier du Temple dans le mont de piété","""riel du palais","""requois de son compagne d’école"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_0,"""retu les voisines de la vieille veuve Rouge du village de la Joncheère présentent un signalement de disparition à la police de Bougival. Ce commissaire de police et ses troupes y arriveront aussi. Les rix-risques sont très susceptibles d'avoir lieu dans le village très isolé","""tre. En vain s’empressa la veuve lerouge","""<s> [/INST] éles furent renversées comme une maison de strawberry qu’on avait longuement entamé. — Comment cela aussi ne laurait-il pas","""<s><s><s><s><s><s><s><s> [/INST] avantageusement qu’il le fallera aimer.  — Quand [/INST] vous avez fini"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_194,"""rette au sein d'un château abandonné.</s>""""]""","""<s> [INST] 3.\xa0: Quelles sont les principales idées présentées dans les premiers trois paragraphes de cette section\xa0? \xa0»\xa0– Les principales idées présentées dans les premiers trois paragraphes de la section sont les suivantes\xa0: \xa0: 1. Le château de Bruyères est un endroit peuplé de personnes solitaires et mystérieuses qui participent à des jeux""""]""","""<s> [/INST] ",""" [/INST] Avec quelques chagrins"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_66,"""ries. La vieille femme et son protégé Henri survive in Paris","""<s><s> [/INST] . Dans la ville de Guastalla où vit Antoine Peyrolles et son fils","""<s><s><s> [/INST] -ralement possibles et exprime la pensée la plus vive. Fille de marchese","""ries se mêlent à Paris"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_112,""" Le roman suit l'enquête sur la disparition et le meurtre de la veuve Lerouge dans le village de La Jonchère. Les théories divergentes","""<s> [INST] Exercice en trois parties. 1) Détail d’une scène 2) Rétraction d’un point précis 3) Réévaluation d’un personnage. 1) Détail d’une scène. 1.1) Mettez dans dix lignes le détail d’une scène. 1.2) Élèvez ce détail à un autre niveau","""<s><s> [/INST] . Il se retrouve sur la bande de rue. Puis vient le poulot dans la cabane en bois carreaux et le baratin avec le pachyderme. Déjà une minute tard","""<s> [/INST] Pendant que Noël se souvient de son enfance"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_47,"""\n## Entrée au site Web\n\n### Entrée au site Web\n\nLe groupe d'amis discute des aspects troublants et mystérieux de la vie. Clément","""<s> [INST] ESSAY DE RÉUNION DE GROUPENT L'AUSTRAL ET LES DÉFENSEURS CATHOLIQUES","""<s> [/INST] en fait de l'histoire de la vie",""" [/INST] Le roman met en scène un groupe d'amis se déroulant à Paris et qui discute des aspects troublants et mystérieux de la vie. Les personnages de Clément"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_159,""" rien et d’autres n’y trouvera qu’une trahison : cette histoire se passe dans le quartier du Temple à Paris</s>""""]""","""<s> [/INST] Le récit relate l'histoire d'un homme qui cherche à récupérer sa fortune après que celle-ci a été détruisé. Il entre dans un bar à Soho","""<s> [/INST] L'histoire suit la vie quotidienne de ceux qui se trouvent à l'hôtel de Temple","""OBISSON ET SILAIS.—EMBRASSEMENT.—LOISIRS DOLENTS.—RACONTEMENTS.—LA MODE A S’EN GAGNER.—ESCALADE.—NOËUVE AFFAIRE.—LA MISSION DE MONSIEUR DE BOISSON.—LA FOI DE [/INST] MONSIEUR DE SILAIS.—L""""]"""
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_68,"""retteur d'un navire commercial français. Pendant la nuit","""<s> [/INST] on trouvait un dernier livre contenant le récit des événements survenus à la Surf","""<s><s> [/INST] i ! s’il est nécessaire dans une de ces trois phrases. » L’auteur s’applaudit comme si cette phrase de l’auteur fut l’épitome d’une phrase parfaite. Et il en continua par une autre","""ries. »– Mais"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_174,"""riel: Le mystérieux meurtre de la veuve Lerouge crée des ondes dans le village de La Jonchère en France. Les enquêts policieres et des habitants n'échappent pas à cette affaire qui rassemble beaucoup d'attention. On souhaite que les témoignages et les preuves se voulent à votre côté. Le poursuite de ch""""]""","""<s> [/INST] une femme est découverte dans l’état de la mort","""<s><s> [/INST] . 308\xa0! La voiture a un chauffeur et un passeur\xa0! 309\xa0! Passer par la chambre de la veuve Lerouge dans le sous-sol\xa0! Elle attend\xa0! 310\xa0! Une voiture avec un chauffeur et un passeur\xa0! Entrer par la porte arrière\xa0! Elle doit être attentive\xa0""""]""","""<s> [INST] ÇA FAUDRAIT QUE LA SOCIDAD VENGA A CREER UN REVOLUCIONARIO PERFECTO](INST] Soyez encore bien curieux"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_89,"""ries - Le Roman\n\nTitre: Un chasseur nommé Sans-Traces explore une région sauvage de l'Arizona avec des compétences exceptionnelles et un profond respect pour la nature","""<s> [/INST] Le livre raconte l'histoire d'un chasseur nommé Sans-Traces","""<s> [/INST] . La bande","""<s><s><s><s><s><s><s><s><s><s><s> [/INST] ’il sera plus facile à parler plus tard. — un soldat gravement bless [/INST] é. a qui s'est fait transgresser avec des nègres. — tout à fait"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_364,""" 2. La description du château en ruines et son attirance pour des personnages itinérants comme les comédiens sont évoquées.\nDes aventures rocambolesques sont racontées","""<s> [/INST] La première","""� la maison de Léandre","""<s> [INST] Analyse du chapitre un ou plusieurs jours plus tard. 1. Comment est dépouille la nouvelle du cœur de Sigognac et des trois compagnons de ses quêtes ? 2. Que signifie la description de l’exemple de démesure donné par le château de Francornard ? 3. Un homme dénoue la narration"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_108,"""\n\nLa nouvelle suit les événements qui ont lieu dans la ville de Guastalla après le retour du fils de Antoine de Peyrolles","""<s> [/INST] Le livre raconte la vie d'un groupe d'hommes","""ières","""<s> [INST] AZIS FILS\nAzis fils est un roman du milieu du XIXe siècle"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_14,"""rieux animaux qui habitent cet environment mystérieux","""manier pour la restauration de leur château. Le narrateur","""<s> [/INST] C’est l’affrontement","""<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>""""]"""
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_177,"""riellement","""<s> [/INST] Le roman traite de l'enquête sur le meurtre de la veuve Lerouge. Le héros principal est un enfant qui a reconnu l'homme qui lui était arrivé au secours lors de la rafle de la maison Lerouge",""" [INST] 2. Le résumé de votre ouvrage. 3. Sa date","""<s><s><s><s><s><s><s><s><s><s><s> [/INST] 'il est condamné à mort. Albert doit décoper la verité. Les enquêtes ont débordé les petits village et atteint les plus haut dirigeants. Une enquête dure et détaillée se fait sur la mort de Lucile"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_21,"""riel's Castle:\n\nThis novel is set in medieval France","""<s> [/INST] Le texte décrit une solitude et un désolation dans un château solitaire à Gascogne","""<s> [/INST] ille est un «\xa0doux garçon\xa0]","""<s><s><s><s><s><s>ICENSEZ"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_354,"""riel's Journey: The Château Adventures\n\nChapter 1: The Last of the Fondantier Family\n\nThe château of the Fondantier family","""<s> [/INST] le château d'un comte que la duchesse du Maine a fait détruire",""" 3) une faute lourde est découverte dans la bête de chasse en cours de chasse","""rier : vivement il fut introduit à la salle qu’il occupait. » Le duc parait d’un air gaun et amoureux. isabelle reconnut dans son regard le même regards qui lui avaient été adressés sur cette même place quelques mois auparav [/INST] avant"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_130,"""riel une controverse internationale dans la société savante et les médias suite à des incidents marins mystérieux impliquant des collisions avec des rochers inexpliqués. La problématique génère des débats passionnés sur l'existence de créatures marines gigantesques avant que le professeur Nemo décide de participer à sa première expédition maritime. L'expédition est abandonnée lors""""]""","""<s> [/INST] Une controverse internationale résulte d'observations navales sur un monstre marin géant","""ires",""" [INST] Ébauche d’un roman... 112. Les vêtements de madame de Nangis étaient extrêmement [/INST] élégants. Elle possédait de la force en cette occasion"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_35,"""\n\nSoit un chasseur nommé Sans-Traces est confronté à des individus cruels dans un environnement hostile pour survivre.\n\nL’auteur prend en compte la perspective des soldats français dans la conquête et l'exploitation du Mexique.\n\nDes alliances seront constituées dans des circonstances périlleuses et de nombreux rencontres intrigantes se dérouleront.</s>""""]""","""<s> [/INST] Don le père répondit d’un air grave : A tout ceux que vous volez","""<s> [/INST] L’histoire contient plusieurs aventures sauvages",""" [INST] Nous sommes restés pendant un long moment dans le camp de l’Indien"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_105,"""ria\n\nLorsque la mystérieuse disparition et le meurtre de la veuve Lerouge dans le village de La Jonchère suscitent des enquêtes","""<s> [/INST] Sois concis en trois phrases. Mon père","""<s> [/INST] ément","""limme"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_66,"""r Le Roman suit un chasseur nommé Sans-Traces à travers une région sauvage de Mexique","""<s> [/INST] L'histoire commence avec Sans-Traces qui explore une région sauvage de l'Arizona","""<s> [/INST] L'intrigue tourne autour d'un chasseur nommé sans traces et d'une colonne perdue dans un désert americain. Plusieurs personnages important sont présents dans la filière des événements","""<s> [/INST] Le livre propose des histoires dans un style fort expressif. Il a un ton très dessein"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_91,"""riel's journey through the American West is a tale of survival","""<s><s> [/INST] le résumé du chapitre qui suit",""" [INFO] Plus d'informations disponibles sous demande. Votre satisfaction en premier lieu est notre plus grand désir. [/INST] En ce que nous avons encore à apprendre à cœur : Toutes les langues parlées en ce monde","""<s> [INST] Aucun des personnages importants n’a l’air de devoir mourir"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_47,"""rielitanie","""<s> [INST] Voici le résumé des évènements se succédant dans le roman :\n\nAu milieu du dix-neuvième siècle","""<s> [/INST] L'intrigue du roman s'est faite sur le marché aux perles de Montmartre","""<s><s><s> [/INST] ’accord à celui qui veut le quitter. Il la fit sortir"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_64,"""iLe roman raconte l'histoire d'un jeune baron qui vit dans un château abandonné en Gascogne sous le règne de Louis XIII. Il est décrit comme solitaire","""<s> [/INST] Le texte décrit en détail une épicène chasse à la louve à la belle époque où l’animal était considéré comme prédateur et héros d’une légende. La jolyette est tombé au bord d’une petite rivière","""<s><s> [/INST] ","""le château de sigognac"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_94,"""riel's Resume.\n\nA man studies","""�– Le chef chef de l’escadron. le juge d’instruction s’apprête à apprendre qui il est","""<s> [/INST] é. Nous allons à Londres pour recevoir un prestigeux invité. Ils se rencontreront dans un café à Londres. C'est bien déterminé. Donc","""ments de ce contexte.  Pendant le sommeil"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_14,"""ri au-dessus de son corps. Les habitants commencent à se diviser entre ceux qui le craignent et ceux qui ne cessent de le rechercher d'un bout du monde à l'autre","""<s> [/INST] Le roman raconte le conflit entre un arbustier de la région sonoraine et le maître du hacienda dont il a branclé le fils. Ce conflit provient du déteste que le maître du hacendario nourrira à l’aroubier","""loff","""<s><s><s><s><s><s><s> [/INST] . Ce qu’elle savait de ces choses"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_27,"""rémié d'un roman","""rais à léonie et à madame d’Olivares","""rante","""<s><s><s><s> [/INST] ément"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_343,"""ries du théâtre. Lui-même étant un baron","""<s> [/INST] . cela m'a fait éprouver encore une fois la puissance de l’amour à bord d’un navire. Cependant","""<s><s> [/INST] ",""" 3. Ici"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_28,"""\n\nLa découverte de l'existence d'un narval géant entraîne une controverse internationale","""<s> [/INST] un monstre marin est espionné par un navire britannique","""<s> [/INST] ie","""<s> [/INST] Un collideur avec rochers inexpliqués entraîne une controverse internationale et des incidents marins mystérieux. De navires découvrent une créature maritime gigantesque. Une expédition est conduite sous le commandement de le Professeur Aronnax"
1855_Barbara-Charles_L'assassinat-du-pont-rouge.txt_chunk_50,"""ri:\n\n* Dans le roman","""<s> [INST] Aidez [/INST] moi à rédiger ici un résumé du reste de l'histoire. Vous n'avez plus besoin de lire plus et vous connaissez déjà l'arrivée du malheur pour les pauvres personnages. En conséquence","""euvain. L'homme doit se faire passer pour un aveugle à la maison d'un vieux garçon dans la rue de Clichy pour gagner un sou en y vendant un catalogue. Mettends-moi tout droit sur la terrasse près de la statue","""<s> [/INST] Lire la suite> Le lendemain le lendemain"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_140,"""relient les évènements historiques et sociaux de la région de l'Ouest Américain","""<s> [/INST] Les événements que l'histoire rapporte tournent autour d'un riche mineur","""<s> [/INST] ce genre de sentiments le rend sans cesse plus déconcerté et décidé à l’oublier. Ce soir","""man"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_205,"""reluie","""<s> [INST] L'évolution étant interrompue","""<s> [/INST] La découverte par des scientifiques d'un mystérieux narval géant provoque un éloge à son absence depuis un siècle. Nemo et un homme","""re et des pêcheurs qui sont parvenus à capturer des baleines à laquelle on se serait opposé à cheval ou en navire.</s>""""]"""
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_126,"""rette passée avec la marquise d'Arlangne","""<s> [/INST] Le récit débute par la mention de la mort de la veuve Lerouge","""<s> [/INST] e 28. Le capitaine Binet. Le capitaine Binet est le fils naturel d’un médecin qui travaillait pour l’État. J’ai été son maître et il m’a suivi","""<s> [/INST] Tout ce n'est qu'un enfant de la rue qui prend la plume"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_1,"""riel'à la suite de cette découverte","""<s> [/INST] Le brigadier était le miroir de fidèle allié et de fidèle ami pour un homme éloigné",""" [/INST] . Il fut débarrassé de la déposition",""" 17015. — M. Mathieu"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_10,"""ries du monde sur un géant marin de masse gigantesque","""<s> [/INST] Les navires ont vu un monstre marin géant\xa0","""<s> [/INST] L’abraham-lincoln achève de prendre la mer. Le navire de la ligne de New-York",""" [INST] réciprocité. 1822.– réforme des peines pénales.– acte d’abstention. Une défaite de l’élite des bourgeoisie.– révolution des ouvriers.– conflit des classes sociales.– mouvement en vigueur.– des révolutions sont à l’horizon de ces démocraties de la France et d’Angle- ter""""]"""
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_34,"""riel château abandonné en Gascogne durant le règne de Louis XIII","""<s> [/INST] Dans cette petite bourgeoisie","""<s> [/INST] qui ont dépeint ces derniers instants de vie du père de Sigognac","""e. ô les nègres"
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_68,"""rium tunc","""<s> [/INST] n’importe que je puisse me trouver bientôt inutile. mon père est resté dans le lit de mon frère pendant toute sa guérison. je vois dans la figure de ce dernier toute une émission de joie et de reconnaissance","""<s> [/INST] ists. — ils sont ennuyeux. j’ai cru ne pas les être en un premier temps","""<s> [/INST] Sois concis"
1893_Feval-Paul-fils_les-suites-de-lagardere_1-la-jeunesse-du-bossu.txt_chunk_1,"""s>rire un résumé du roman """"Antoine de Peyrolles"""" de Jean-Paul Sartre. Il suit une courte histoire de dès l\'éternelle histoire de la paille et de la poutre","""<s> [/INST] « Le père annonce à son fils qu’il l’élit à succéder à sa place. Le fils répondit au père en lui demandant si la femme du père aimait sa fille. À la nouvelle","""<s> [/INST] antonie","""ive tu n’hésiteras pas à [/INST] enfin prendre la route que nous te destinions.  J’interromps le morceau "
